Freq,SA Max Hold,N medición
4140400000,-67.608792672527,\TRACE1107202301.csv
4140800000,-67.0154219521732,\TRACE1107202301.csv
4141200000,-67.346505489201,\TRACE1107202301.csv
4141600000,-67.9923021977023,\TRACE1107202301.csv
4142000000,-69.2236016953795,\TRACE1107202301.csv
4142400000,-67.2320437859836,\TRACE1107202301.csv
4142800000,-67.3114081604128,\TRACE1107202301.csv
4143200000,-68.6642498335139,\TRACE1107202301.csv
4143600000,-68.7953726926747,\TRACE1107202301.csv
4144000000,-67.8665060134633,\TRACE1107202301.csv
4144400000,-67.961154030303,\TRACE1107202301.csv
4144800000,-69.0845074223952,\TRACE1107202301.csv
4145200000,-66.9589570605577,\TRACE1107202301.csv
4145600000,-68.441859950987,\TRACE1107202301.csv
4146000000,-69.4401055431782,\TRACE1107202301.csv
4146400000,-68.5285776152502,\TRACE1107202301.csv
4146800000,-66.7475331681154,\TRACE1107202301.csv
4147200000,-66.1142689220451,\TRACE1107202301.csv
4147600000,-67.2966913557168,\TRACE1107202301.csv
4148000000,-69.0528069153958,\TRACE1107202301.csv
4148400000,-68.4359346402982,\TRACE1107202301.csv
4148800000,-68.4859610112553,\TRACE1107202301.csv
4149200000,-67.8894917747761,\TRACE1107202301.csv
4149600000,-68.3567171140476,\TRACE1107202301.csv
4150000000,-68.4770781788166,\TRACE1107202301.csv
4150400000,-68.538218295557,\TRACE1107202301.csv
4150800000,-66.550475372784,\TRACE1107202301.csv
4151200000,-68.4791342446645,\TRACE1107202301.csv
4151600000,-68.7991404084343,\TRACE1107202301.csv
4152000000,-67.3962417060991,\TRACE1107202301.csv
4152400000,-67.7718645781109,\TRACE1107202301.csv
4152800000,-68.3115139135395,\TRACE1107202301.csv
4153200000,-68.7759537078464,\TRACE1107202301.csv
4153600000,-68.988426991563,\TRACE1107202301.csv
4154000000,-68.754092891365,\TRACE1107202301.csv
4154400000,-68.7024760057695,\TRACE1107202301.csv
4154800000,-67.7962423806246,\TRACE1107202301.csv
4155200000,-68.2059480026151,\TRACE1107202301.csv
4155600000,-67.3214517370069,\TRACE1107202301.csv
4156000000,-69.0631869464585,\TRACE1107202301.csv
4156400000,-68.6342094106346,\TRACE1107202301.csv
4156800000,-67.6106405734432,\TRACE1107202301.csv
4157200000,-66.905709269205,\TRACE1107202301.csv
4157600000,-68.015809689571,\TRACE1107202301.csv
4158000000,-68.6138928632772,\TRACE1107202301.csv
4158400000,-68.163730350963,\TRACE1107202301.csv
4158800000,-69.1648832645428,\TRACE1107202301.csv
4159200000,-68.5773038388284,\TRACE1107202301.csv
4159600000,-67.5656681846976,\TRACE1107202301.csv
4160000000,-68.1664390930282,\TRACE1107202301.csv
4160400000,-67.4333583831419,\TRACE1107202301.csv
4160800000,-67.6123929108733,\TRACE1107202301.csv
4161200000,-68.3537424790013,\TRACE1107202301.csv
4161600000,-67.5598583102537,\TRACE1107202301.csv
4162000000,-67.4760596279729,\TRACE1107202301.csv
4162400000,-67.409576207298,\TRACE1107202301.csv
4162800000,-68.8549382331027,\TRACE1107202301.csv
4163200000,-67.9347038105161,\TRACE1107202301.csv
4163600000,-68.7770784991744,\TRACE1107202301.csv
4164000000,-68.3321448175942,\TRACE1107202301.csv
4164400000,-68.5099777642745,\TRACE1107202301.csv
4164800000,-68.8227063111367,\TRACE1107202301.csv
4165200000,-67.4954955222329,\TRACE1107202301.csv
4165600000,-68.1750273766714,\TRACE1107202301.csv
4166000000,-68.5818306319701,\TRACE1107202301.csv
4166400000,-67.4018355248497,\TRACE1107202301.csv
4166800000,-67.2709856143868,\TRACE1107202301.csv
4167200000,-68.5745335081708,\TRACE1107202301.csv
4167600000,-69.4058745797641,\TRACE1107202301.csv
4168000000,-68.9065761382418,\TRACE1107202301.csv
4168400000,-67.5401710726555,\TRACE1107202301.csv
4168800000,-68.9237199245739,\TRACE1107202301.csv
4169200000,-67.328670893365,\TRACE1107202301.csv
4169600000,-67.7249165869263,\TRACE1107202301.csv
4170000000,-68.2862938053005,\TRACE1107202301.csv
4170400000,-68.5085297265571,\TRACE1107202301.csv
4170800000,-67.6698013608141,\TRACE1107202301.csv
4171200000,-66.4880597599474,\TRACE1107202301.csv
4171600000,-69.6656578986444,\TRACE1107202301.csv
4172000000,-68.0036698248569,\TRACE1107202301.csv
4172400000,-66.7578222802818,\TRACE1107202301.csv
4172800000,-69.0922794702143,\TRACE1107202301.csv
4173200000,-68.5370681965576,\TRACE1107202301.csv
4173600000,-68.1497788001671,\TRACE1107202301.csv
4174000000,-68.2736213739338,\TRACE1107202301.csv
4174400000,-67.6226605073734,\TRACE1107202301.csv
4174800000,-69.1452139000063,\TRACE1107202301.csv
4175200000,-67.7050169211088,\TRACE1107202301.csv
4175600000,-68.6764038992497,\TRACE1107202301.csv
4176000000,-68.288718214491,\TRACE1107202301.csv
4176400000,-68.4863180486294,\TRACE1107202301.csv
4176800000,-68.7005742769738,\TRACE1107202301.csv
4177200000,-67.9062652582057,\TRACE1107202301.csv
4177600000,-68.1551456037873,\TRACE1107202301.csv
4178000000,-68.9921976709026,\TRACE1107202301.csv
4178400000,-68.4738074884028,\TRACE1107202301.csv
4178800000,-69.0294729923484,\TRACE1107202301.csv
4179200000,-67.7907225102072,\TRACE1107202301.csv
4179600000,-68.3075203786771,\TRACE1107202301.csv
4180000000,-67.5602143168851,\TRACE1107202301.csv
4180400000,-67.9484035239433,\TRACE1107202301.csv
4180800000,-67.1494609806985,\TRACE1107202301.csv
4181200000,-68.3355622231682,\TRACE1107202301.csv
4181600000,-68.6734992346602,\TRACE1107202301.csv
4182000000,-68.4135657090099,\TRACE1107202301.csv
4182400000,-68.6311813559333,\TRACE1107202301.csv
4182800000,-68.087117939238,\TRACE1107202301.csv
4183200000,-67.4824359773181,\TRACE1107202301.csv
